time,theta,v_filter,myPithR
0.009999999776482582,1.1920928955078125e-07,0.0,0.0
0.019999999552965164,1.1920928955078125e-07,0.0,0.0
0.029999999329447746,1.1920928955078125e-07,0.0,0.0
0.03999999910593033,-0.0003212295123375952,0.0015775185311213136,8.80561419762671e-05
0.04999999701976776,0.00020339021284598857,-0.006016086786985397,0.00018427839677315205
0.059999994933605194,0.0005699465982615948,-0.003984029870480299,0.004610173869878054
0.06999999284744263,0.003220849670469761,-0.0017415705369785428,0.008259004913270473
0.07999999076128006,0.005536375567317009,0.0019733833614736795,0.014228763058781624
0.009999999776482582,1.1920928955078125e-07,0.0,0.0
0.019999999552965164,1.1920928955078125e-07,0.0,0.0
0.029999999329447746,1.1920928955078125e-07,0.0,0.0
0.03999999910593033,-0.0003212295123375952,0.0015775185311213136,8.80561419762671e-05
0.009999999776482582,1.1920928955078125e-07,0.0,0.0
0.019999999552965164,1.1920928955078125e-07,0.0,0.0
0.029999999329447746,1.1920928955078125e-07,0.0,0.0
0.03999999910593033,-0.001481067854911089,0.008533704094588757,0.0015983697958290577
0.04999999701976776,-0.02208300307393074,0.049092214554548264,0.020868618041276932
0.059999994933605194,-0.06795722246170044,0.06767922639846802,0.0541490875184536
0.06999999284744263,-0.10055936872959137,0.09391038119792938,0.07546509802341461
0.07999999076128006,-0.0981043204665184,0.11351734399795532,0.07373853772878647
0.08999998867511749,-0.07862973213195801,0.10420981049537659,0.057675957679748535
0.09999998658895493,-0.07926716655492783,0.09909464418888092,0.05375947803258896
0.10999998450279236,-0.07107493281364441,0.09651432931423187,0.0406242311000824
0.11999998241662979,-0.0462225005030632,0.05836661905050278,0.012597254477441311
0.12999998033046722,-0.033182043582201004,0.03747077286243439,-0.0072265672497451305
0.13999998569488525,-0.04070952907204628,0.0251779705286026,-0.0073861731216311455
0.14999999105930328,-0.06982709467411041,0.022655000910162926,0.015470280312001705
0.1599999964237213,-0.1263626515865326,-0.017162825912237167,0.07363662868738174
0.17000000178813934,-0.1845875382423401,-0.24690642952919006,0.15495449304580688
